"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.523485333E0,2.323168945E-1,7.783813477E-3,9.797575836E0,9.800332851E0
2.533546333E0,2.222877502E-1,1.481918335E-2,9.809550934E0,9.812080359E0
2.543606333E0,2.044747925E-1,2.978805542E-2,9.812544708E0,9.814720114E0
2.553667333E0,1.817221069E-1,4.415817261E-2,9.801318054E0,9.803101982E0
2.563728333E0,1.701960754E-1,6.750961304E-2,9.798024902E0,9.799735519E0
2.573789333E0,1.499880981E-1,7.020401001E-2,9.798773346E0,9.800172658E0
2.583850333E0,1.606159973E-1,6.825805664E-2,9.800270233E0,9.801823978E0
2.593910333E0,1.865121460E-1,4.909790039E-2,9.798174591E0,9.800072587E0
2.603971333E0,2.134561157E-1,4.236190796E-2,9.801767120E0,9.804182614E0
2.614032333E0,2.049238586E-1,1.930984497E-2,9.805209961E0,9.807370139E0
2.624093333E0,2.357597351E-1,2.739303589E-2,9.796078949E0,9.798953812E0
2.634154333E0,2.188449097E-1,4.266128540E-2,9.785151672E0,9.787691573E0
2.644215333E0,2.100132751E-1,8.128097534E-2,9.795629883E0,9.798218051E0
2.654275333E0,1.814227295E-1,1.073268127E-1,9.805209961E0,9.807475497E0
2.664336333E0,1.514849854E-1,1.086740112E-1,9.797126770E0,9.798900484E0
2.674397333E0,1.781295776E-1,8.202941895E-2,9.804910583E0,9.806871597E0
2.684458333E0,1.917512512E-1,6.990463257E-2,9.793085175E0,9.795211710E0
2.694519333E0,2.088157654E-1,5.014572144E-2,9.801767120E0,9.804119405E0
2.704579333E0,2.200424194E-1,1.496887207E-2,9.806407471E0,9.808887308E0
2.714640333E0,2.148033142E-1,-7.334747314E-3,9.796677704E0,9.799035070E0
2.724701333E0,2.183958435E-1,-2.095642090E-3,9.797276459E0,9.799710564E0
2.734762333E0,2.176473999E-1,1.706451416E-2,9.802665253E0,9.805096004E0
2.744823333E0,2.038760376E-1,4.326004028E-2,9.798473969E0,9.800690230E0
2.754883333E0,1.811233521E-1,5.044509888E-2,9.791438599E0,9.793243600E0
2.764944333E0,1.733395386E-1,6.137237549E-2,9.797426147E0,9.799151610E0
2.775004958E0,1.815724182E-1,7.963439941E-2,9.799072723E0,9.801078329E0
2.785065958E0,1.742376709E-1,6.706054688E-2,9.794731750E0,9.796510907E0
2.795126958E0,1.737886047E-1,3.682342529E-2,9.804760895E0,9.806370106E0
2.805186958E0,1.919009399E-1,2.454895020E-2,9.783654785E0,9.785567412E0
2.815247958E0,1.878593445E-1,2.155517578E-2,9.794282684E0,9.796107853E0
2.825308958E0,1.992356873E-1,1.751358032E-2,9.800868988E0,9.802909492E0
2.835369958E0,2.160008240E-1,2.454895020E-2,9.820328522E0,9.822734410E0
2.845430958E0,2.288740540E-1,4.670288086E-2,9.799521790E0,9.802305433E0
2.855490958E0,2.037263489E-1,7.589218140E-2,9.799821167E0,9.802232345E0
2.865551958E0,2.001338196E-1,1.046324158E-1,9.790241089E0,9.792845453E0
2.875612958E0,1.911524963E-1,1.219963074E-1,9.794282684E0,9.796907455E0
2.885673958E0,1.844165039E-1,1.106199646E-1,9.794432373E0,9.796792931E0
2.895734958E0,1.938468933E-1,6.870712280E-2,9.795180817E0,9.797339665E0
2.905794958E0,2.148033142E-1,5.194198608E-2,9.798623657E0,9.801115447E0
2.915855958E0,2.073188782E-1,1.212478638E-2,9.784552917E0,9.786756558E0
2.925916958E0,2.246827698E-1,-1.407073975E-2,9.806557159E0,9.809140821E0
2.935977958E0,2.097138977E-1,-1.287322998E-2,9.806108093E0,9.808358761E0
2.946038958E0,1.989363098E-1,3.308120728E-2,9.805958405E0,9.808031926E0
2.956098958E0,1.733395386E-1,8.696914673E-2,9.786798248E0,9.788719537E0
2.966159958E0,1.607656860E-1,1.079255676E-1,9.790839844E0,9.792754382E0
2.976220958E0,1.595681763E-1,9.550140381E-2,9.796228638E0,9.797993572E0
2.986281958E0,1.594184875E-1,7.484436035E-2,9.807305603E0,9.808886742E0
2.996342958E0,1.956431580E-1,3.891906738E-2,9.789642334E0,9.791674421E0
3.006402958E0,2.194436646E-1,2.140548706E-2,9.804311829E0,9.806790716E0
3.016463958E0,2.052232361E-1,2.694396973E-3,9.808802490E0,9.810949502E0
3.026524958E0,2.116598511E-1,1.347198486E-2,9.797875214E0,9.800170411E0
3.036585958E0,1.984872437E-1,2.484832764E-2,9.790989532E0,9.793032761E0
3.046646958E0,1.874102783E-1,7.065307617E-2,9.796827393E0,9.798874498E0
3.056706958E0,1.842668152E-1,9.370513916E-2,9.791139221E0,9.793321304E0
3.066767958E0,1.710942078E-1,9.205856323E-2,9.787546692E0,9.789474871E0
3.076828958E0,2.017803955E-1,9.610015869E-2,9.798773346E0,9.801321832E0
3.086889958E0,2.085163879E-1,8.322692871E-2,9.794731750E0,9.797304521E0
3.096950958E0,2.332150269E-1,6.316864014E-2,9.788594513E0,9.791576077E0
3.107011958E0,2.185455322E-1,5.164260864E-2,9.791588287E0,9.794163073E0
3.117071958E0,2.302212524E-1,5.104385376E-2,9.802515564E0,9.805351533E0
3.127132958E0,2.085163879E-1,3.248245239E-2,9.786798248E0,9.789073202E0
3.137193958E0,2.050735474E-1,4.415817261E-2,9.800419922E0,9.802664727E0
3.147254958E0,2.094145203E-1,5.972579956E-2,9.797875214E0,9.800294910E0
3.157315958E0,1.974394226E-1,4.251159668E-2,9.805509338E0,9.807589049E0
3.167375958E0,1.824705505E-1,4.490661621E-2,9.809401245E0,9.811200991E0
3.177436958E0,1.773811340E-1,5.748046875E-2,9.788893890E0,9.790669623E0
3.187497958E0,1.947450256E-1,4.281097412E-2,9.783505096E0,9.785536796E0
