"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.190996542E0,8.733192991E-2,5.051106278E-2,5.068249583E-2,1.129023863E-1
2.201058542E0,8.193113090E-2,-1.880522112E-2,4.461367071E-2,9.516683333E-2
2.211120542E0,2.171142435E-2,-7.755490112E-2,3.523532152E-2,8.790720402E-2
2.221182542E0,-3.130929993E-2,-3.970417486E-2,5.782896280E-4,5.056706618E-2
2.231244542E0,2.176163731E-2,1.789524636E-1,8.546290398E-3,1.804732450E-1
2.241306542E0,7.461885883E-2,1.297149975E-1,6.068766654E-2,1.614835829E-1
2.251368542E0,8.759026721E-2,1.458333956E-2,9.699127436E-2,1.314991863E-1
2.261430542E0,1.302739365E-1,-5.681863703E-2,1.500459856E-1,2.066723345E-1
2.271492542E0,-5.348172242E-2,3.034876686E-2,-8.939866483E-2,1.085055923E-1
2.281554542E0,-1.751164891E-1,-1.879498301E-1,-2.142940217E-1,3.345337818E-1
2.291615542E0,4.383852177E-2,-3.071053409E-1,1.731623679E-1,3.552755439E-1
2.301677542E0,1.230614965E-1,-9.774026614E-2,-4.155616164E-3,1.572086533E-1
2.311739542E0,1.415431838E0,-2.557279583E-1,5.341139138E-2,1.439339034E0
2.321801542E0,2.578956271E0,-3.387144751E-1,-5.602860510E-2,2.601707545E0
2.331863542E0,1.942236879E0,-9.042125149E-2,1.461803913E-2,1.944395480E0
2.341925542E0,9.279888652E-1,1.601658713E-1,-1.172548002E-1,9.489811001E-1
2.351987542E0,-3.895329552E-1,1.353875276E-2,-2.070265174E-2,3.903175897E-1
2.362049542E0,-1.228561258E0,2.917220109E-1,-1.756094277E-2,1.262843175E0
2.372111542E0,-1.112244863E0,3.781078613E-1,1.117753744E-2,1.174810252E0
2.382173542E0,-1.918287816E-2,2.013361533E-1,4.709522903E-2,2.076588309E-1
2.392235542E0,6.848049934E-1,4.876946960E-2,-1.039173013E-1,6.943595219E-1
2.402297542E0,1.361066328E0,5.758903693E-1,-2.532721460E-2,1.478104439E0
2.412359542E0,6.951212360E-1,5.842499142E-1,-7.077469826E-3,9.080702537E-1
2.422421542E0,9.661484523E-1,4.132508699E-1,3.063707113E-2,1.051264830E0
2.432483542E0,1.197127212E0,-4.343057798E-1,2.897353828E-2,1.273803178E0
2.442545542E0,1.797274170E0,-6.259127875E-1,-8.104884088E-2,1.904870120E0
2.452607542E0,2.363099142E0,-5.984882498E-1,1.198228973E-1,2.440652222E0
2.462669542E0,2.909269869E0,-2.985053840E-1,-6.728391051E-2,2.925317719E0
2.472731542E0,2.752462748E0,-3.718010545E-1,6.848668277E-2,2.778304812E0
2.482792542E0,2.314252672E0,-5.213044184E-1,-1.310711861E-2,2.372276444E0
2.492854542E0,2.184300059E0,-7.030155618E-1,1.344643253E-1,2.298581798E0
2.502916542E0,2.792382274E0,-4.508871312E-1,-8.436830521E-2,2.829808470E0
2.512978542E0,3.744140582E0,-1.146163720E-1,1.637395799E-2,3.745930287E0
2.523040542E0,5.071711135E0,-3.182455292E-1,4.572873473E-2,5.081891889E0
2.533102542E0,4.967516091E0,5.405697880E-2,-9.228601992E-2,4.968667324E0
2.543164542E0,4.797344574E0,4.932083280E-1,1.497524554E-1,4.824955462E0
2.553226542E0,5.243017597E0,5.551316939E-1,-1.029074872E-1,5.273328614E0
2.563288542E0,5.599028245E0,-8.390973732E-2,1.759567523E-1,5.602420808E0
2.573350542E0,5.999623913E0,7.940973477E-1,-1.267015618E-1,6.053274402E0
2.583412542E0,6.537957178E0,7.360948688E-1,9.722399354E-2,6.579982691E0
2.593474542E0,6.881416778E0,5.441168918E-1,-1.207140130E-1,6.903950459E0
2.603536542E0,6.901367478E0,7.785411228E-1,4.783256292E-2,6.945306854E0
2.613598542E0,6.592812831E0,7.558780459E-1,2.432149351E-2,6.636047331E0
2.623660542E0,6.566678116E0,9.095738634E-1,6.129753113E-2,6.629656362E0
2.633722542E0,7.282556822E0,5.881168241E-1,1.024139822E-2,7.306272658E0
2.643784542E0,7.596460501E0,1.379440582E-1,-1.596547151E-1,7.599390129E0
2.653846542E0,8.446822243E0,4.410319782E-1,5.500066459E-2,8.458506977E0
2.663908542E0,8.252308767E0,4.207157177E-1,8.047289014E-2,8.263418033E0
2.673969542E0,7.529160218E0,3.631437766E-1,-1.684191066E-1,7.539793896E0
2.684031542E0,7.385462555E0,-6.762871351E-2,9.314848423E-2,7.386359552E0
2.694093542E0,6.764532107E0,-4.781277010E-1,-5.932877362E-2,6.781667982E0
2.704155542E0,5.545963594E0,-5.161382572E-1,1.628408629E-1,5.572309039E0
2.714217542E0,4.857144633E0,-1.362573192E-1,-2.445890307E-2,4.859117027E0
2.724279542E0,5.347388057E0,-4.973986620E-1,7.893741131E-3,5.370477332E0
2.734341042E0,5.999754891E0,-2.570604839E-1,3.618666351E-2,6.005368292E0
