"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.420044625E0,1.801169878E0,5.795634440E-1,-1.105000967E-1,1.895340863E0
2.430105625E0,2.866389313E0,8.849727269E-1,9.533066511E-2,3.001408395E0
2.440166625E0,1.975687484E0,8.265717602E-1,-3.819810569E-2,2.141966621E0
2.450227625E0,2.062339273E0,1.209922747E0,-4.223034561E-2,2.391430478E0
2.460289625E0,2.489140115E0,1.907560551E0,-3.670706570E-2,3.136232322E0
2.470350625E0,1.960082435E0,2.097818570E0,-5.137363672E-2,2.871481352E0
2.480411625E0,5.508612073E-2,3.065339071E0,-1.125764430E-2,3.065854667E0
2.490472625E0,-1.488034385E-2,3.061819632E0,-1.767917347E-1,3.066955526E0
2.500533625E0,-2.018842749E-1,2.790209741E0,-7.532617092E-2,2.798517767E0
2.510595625E0,-5.866017374E-1,2.865272202E0,-3.565573633E-2,2.924920122E0
2.520656625E0,-4.688789407E-1,3.381736880E0,-9.688894808E-2,3.415461793E0
2.530717625E0,6.346662886E-2,3.134676524E0,-7.174124300E-2,3.136139622E0
2.540778625E0,2.359412729E-2,3.613181370E0,-6.843230367E-2,3.613906374E0
2.550840625E0,-3.238184739E-1,3.880020811E0,-7.115710616E-2,3.894160144E0
2.560901625E0,-4.803918525E-1,3.332186698E0,-1.075507611E-1,3.368354448E0
2.570962625E0,4.767784925E-1,2.923268980E0,-1.492326379E-2,2.961932134E0
2.581023625E0,1.011203953E0,2.521602979E0,-1.428960103E-1,2.720557717E0
2.591084625E0,1.154089439E0,3.132490542E0,6.327096641E-2,3.338925373E0
2.601146625E0,9.149869964E-1,2.778213301E0,-2.161949515E-2,2.925087648E0
2.611207625E0,6.374728060E-1,2.942680859E0,-1.360231930E-1,3.014008050E0
2.621268625E0,1.646534084E-1,3.165672029E0,-4.441077232E-2,3.170262207E0
2.631329625E0,-2.154653652E-1,3.040408882E0,-3.093937218E-2,3.048191060E0
2.641391625E0,-6.176351767E-1,3.725307285E0,-6.563616514E-2,3.776730820E0
2.651452625E0,-6.207613175E-1,3.050759624E0,-6.129051447E-2,3.113877875E0
2.661513625E0,-3.037756668E-2,2.801973462E0,-9.821568131E-2,2.803858840E0
2.671574625E0,2.428973764E-1,2.046082844E0,-1.232680768E-1,2.064133997E0
2.681635625E0,5.212463117E-1,2.908640416E0,1.027414262E-2,2.954994475E0
2.691697625E0,5.428186637E-1,2.915652105E0,3.898864925E-2,2.966007318E0
2.701758625E0,4.887236460E-3,2.233874507E0,-2.474483192E-2,2.234016899E0
