"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.2518433330,0.1782792664,0.0724493408,-0.0052391050,9.8066492040
2.2619043330,0.1736389160,0.0648152161,-0.0145198060,9.7972334730
2.2719653330,0.1695973206,0.0535885620,-0.0217048650,9.7899109620
2.2820263330,0.1698966980,0.0489482117,-0.0261955260,9.7854019230
2.2920863330,0.1930984497,0.0499960327,-0.0091310120,9.8028985270
2.3021473330,0.1839674377,0.0479003906,-0.0106278990,9.8012158450
2.3122083330,0.1951940918,0.0630189514,-0.0026943970,9.8094503060
2.3222693330,0.2154020691,0.0570314026,-0.0137713620,9.7987624810
2.3323303330,0.1992356873,0.0637673950,-0.0170645140,9.7951695530
2.3423903330,0.1872605896,0.0402662659,-0.0232017520,9.7886724250
2.3524513330,0.1969903564,0.0336799622,-0.0158670040,9.7961717360
2.3625123330,0.1859133911,0.0284408569,-0.0044906620,9.8073128870
2.3725733330,0.1833686829,0.0297880554,-0.0381706240,9.7735950790
2.3826343330,0.1930984497,0.0374221802,-0.0239501950,9.7880262670
2.3926943330,0.1868115234,0.0743952942,-0.0160166930,9.7960472750
2.4027553330,0.1857637024,0.0797840881,-0.0155676270,9.7965187270
2.4128163330,0.2158511353,0.0630189514,-0.0119750980,9.8006048330
2.4228773330,0.2192939758,0.0598754883,-0.0062869260,9.8063481970
2.4329383330,0.2227368164,0.0396675110,-0.0167651370,9.7958478090
2.4429983330,0.2064207458,0.0440084839,-0.0074844360,9.8047874860
2.4530593330,0.2044747925,0.0681083679,-0.0091310120,9.8032383230
2.4631203330,0.1839674377,0.0643661499,-0.0040415950,9.8078951490
2.4731813330,0.1815724182,0.0788859558,-0.0203576660,9.7916438130
2.4832423330,0.1706451416,0.0850231934,-0.0134719850,9.7983830230
2.4933023330,0.1713935852,0.0604742432,-0.0127235410,9.7989621340
2.5033633330,0.1794767761,0.0473016357,-0.0109272770,9.8008303520
2.5134243330,0.2106120300,0.0272433472,-0.0088316350,9.8034688230
2.5234853330,0.2323168945,0.0077838135,-0.0124241640,9.8003328510
2.5335463330,0.2222877502,0.0148191834,-0.0004490660,9.8120803590
2.5436063330,0.2044747925,0.0297880554,0.0025447080,9.8147201140
2.5536673330,0.1817221069,0.0441581726,-0.0086819460,9.8031019820
2.5637283330,0.1701960754,0.0675096130,-0.0119750980,9.7997355190
2.5737893330,0.1499880981,0.0702040100,-0.0112266540,9.8001726580
2.5838503330,0.1606159973,0.0682580566,-0.0097297670,9.8018239780
2.5939103330,0.1865121460,0.0490979004,-0.0118254090,9.8000725870
2.6039713330,0.2134561157,0.0423619080,-0.0082328800,9.8041826140
2.6140323330,0.2049238586,0.0193098450,-0.0047900390,9.8073701390
2.6240933330,0.2357597351,0.0273930359,-0.0139210510,9.7989538120
2.6341543330,0.2188449097,0.0426612854,-0.0248483280,9.7876915730
2.6442153330,0.2100132751,0.0812809753,-0.0143701170,9.7982180510
2.6542753330,0.1814227295,0.1073268127,-0.0047900390,9.8074754970
2.6643363330,0.1514849854,0.1086740112,-0.0128732300,9.7989004840
2.6743973330,0.1781295776,0.0820294190,-0.0050894170,9.8068715970
2.6844583330,0.1917512512,0.0699046326,-0.0169148250,9.7952117100
2.6945193330,0.2088157654,0.0501457214,-0.0082328800,9.8041194050
2.7045793330,0.2200424194,0.0149688721,-0.0035925290,9.8088873080
2.7146403330,0.2148033142,-0.0073347473,-0.0133222960,9.7990350700
