"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.145274708E0,-3.472778320E-1,-2.827320557E0,9.879754944E0,1.028221285E1
2.155334708E0,-4.379891968E-1,-2.254312134E0,9.997709656E0,1.025806785E1
2.165395708E0,-8.571176147E-1,-1.602866821E0,9.875114594E0,1.004100199E1
2.175456708E0,-1.233734436E0,-1.601369934E0,9.919123077E0,1.012301778E1
2.185517708E0,-1.145268402E0,-1.476080475E0,1.006491989E1,1.023684843E1
2.195577708E0,-6.845265198E-1,-1.728455658E0,9.531129913E0,9.710745231E0
2.205638708E0,8.247848511E-2,-1.867666168E0,1.004695724E1,1.021940945E1
2.215699708E0,3.550616455E-1,-2.111808472E0,9.682165833E0,9.916155455E0
2.225760708E0,8.026309204E-1,-1.293310547E0,1.000085312E1,1.011602351E1
2.235820708E0,4.328997803E-1,-1.056053925E0,9.837393036E0,9.903380930E0
2.245881708E0,-6.182144165E-2,-1.066981201E0,9.779613190E0,9.837840460E0
2.255942708E0,8.352630615E-2,-3.900888062E-1,9.902357941E0,9.910390442E0
2.266003708E0,2.570155334E-1,-1.293310547E-1,9.967472534E0,9.971624352E0
2.276063708E0,4.240681458E-1,-3.703298950E-1,9.592801666E0,9.609309124E0
2.286124708E0,1.115330658E0,-4.537065125E-1,9.843380585E0,9.916751152E0
2.296185708E0,1.734443207E0,-2.604583740E-2,1.001941452E1,1.016846296E1
2.306246708E0,1.621727600E0,1.362167358E-1,9.796228638E0,9.930490971E0
2.316306708E0,1.305884399E0,3.977229309E-1,9.702224121E0,9.797789061E0
2.326367708E0,6.671626282E-1,8.237370300E-1,9.863438873E0,9.920235636E0
2.336428708E0,3.712280273E-2,5.162763977E-1,9.842482452E0,9.856083413E0
2.346489708E0,6.595285034E-1,3.899391174E-1,9.897717590E0,9.927328133E0
2.356549708E0,1.419348450E0,6.843768311E-1,9.898915100E0,1.002354437E1
2.366610708E0,1.982028351E0,8.940907288E-1,9.944869537E0,1.017979689E1
2.376671708E0,2.204016724E0,1.226250000E0,9.723330231E0,1.004512467E1
2.386731708E0,2.508483582E0,2.089055786E0,9.961784363E0,1.048302397E1
2.396792708E0,1.890269165E0,2.081870728E0,9.644294586E0,1.004588081E1
2.406853708E0,1.125509491E0,1.783541107E0,9.679621124E0,9.906707607E0
2.416914708E0,9.141490173E-1,1.730102234E0,9.867181091E0,1.005933322E1
2.426974708E0,1.456770630E0,1.783241730E0,9.961484985E0,1.022415350E1
