Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.9038167080,-0.8171507263,-2.3379881290,0.1451980590,10.2586496300
1.9138777080,-0.8414002991,-2.2906864930,-0.0420625310,10.0681578000
1.9239377080,-1.6566050720,-2.3131398010,-0.0886157230,10.1291790600
1.9339987080,-2.1784199520,-2.3736140440,0.0125738530,10.3374326700
1.9440597080,-2.2601499940,-1.9199075320,0.2501298500,10.4881140100
1.9541207080,-2.5548870850,-1.7619859310,-0.0450563050,10.2462758000
1.9641807080,-2.6869125370,-2.4423211670,0.0758921810,10.5316331100
1.9742417080,-2.6539810180,-2.6605673220,-0.0032931520,10.5020823100
1.9843027080,-2.4086412050,-2.3810984800,-0.0004490660,10.3777874300
1.9943637080,-2.1148022460,-1.8856288150,0.1116677860,10.3183078200
2.0044237080,-2.7159521480,-2.1338127140,-0.0008981320,10.3994246100
2.0144847080,-3.1850765990,-2.5978477480,-0.1128652950,10.5322337300
2.0245457080,-1.9742445370,-1.7628840640,0.0818797300,10.2398577300
2.0346067080,-1.8488053890,-2.4625291440,0.1387614440,10.4144123900
2.0446667080,-1.8241067500,-3.2310310360,0.0312849430,10.5175004800
2.0547277080,-1.3895603940,-3.1615754700,0.0739462280,10.4699011700
2.0647887080,-0.8767268372,-2.8159442140,0.2624043300,10.4953094600
2.0748497080,-0.9409432983,-2.5797354130,-0.0619711300,10.1274121000
2.0849097080,-1.3465997310,-2.1140538020,0.1679507450,10.2879568100
2.0949707080,-2.1064196780,-2.0197499080,-0.0320333860,10.2041670200
2.1050317080,-2.4628285220,-2.7527755740,0.0711021420,10.5489088200
2.1150917080,-2.1218376160,-3.1660661320,-0.0857716370,10.4444620200
2.1251527080,-1.1240126040,-3.0150302120,0.2600093100,10.5716081500
2.1352137080,-0.4257147217,-2.9526100160,0.0986448670,10.3479651200
2.1452747080,-0.3472778320,-2.8273205570,0.0697549440,10.2822128500
2.1553347080,-0.4379891968,-2.2543121340,0.1877096560,10.2580678500
2.1653957080,-0.8571176147,-1.6028668210,0.0651145940,10.0410019900
2.1754567080,-1.2337344360,-1.6013699340,0.1091230770,10.1230177800
2.1855177080,-1.1452684020,-1.4760804750,0.2549198900,10.2368484300
2.1955777080,-0.6845265198,-1.7284556580,-0.2788700870,9.7107452310
2.2056387080,0.0824784851,-1.8676661680,0.2369572400,10.2194094500
2.2156997080,0.3550616455,-2.1118084720,-0.1278341670,9.9161554550
2.2257607080,0.8026309204,-1.2933105470,0.1908531200,10.1160235100
2.2358207080,0.4328997803,-1.0560539250,0.0273930360,9.9033809300
2.2458817080,-0.0618214417,-1.0669812010,-0.0303868100,9.8378404600
2.2559427080,0.0835263061,-0.3900888062,0.0923579410,9.9103904420
2.2660037080,0.2570155334,-0.1293310547,0.1574725340,9.9716243520
2.2760637080,0.4240681458,-0.3703298950,-0.2171983340,9.6093091240
2.2861247080,1.1153306580,-0.4537065125,0.0333805850,9.9167511520
2.2961857080,1.7344432070,-0.0260458374,0.2094145200,10.1684629600
2.3062467080,1.6217276000,0.1362167358,-0.0137713620,9.9304909710
2.3163067080,1.3058843990,0.3977229309,-0.1077758790,9.7977890610
2.3263677080,0.6671626282,0.8237370300,0.0534388730,9.9202356360
2.3364287080,0.0371228027,0.5162763977,0.0324824520,9.8560834130
2.3464897080,0.6595285034,0.3899391174,0.0877175900,9.9273281330
2.3565497080,1.4193484500,0.6843768311,0.0889151000,10.0235443700
2.3666107080,1.9820283510,0.8940907288,0.1348695370,10.1797968900
2.3766717080,2.2040167240,1.2262500000,-0.0866697690,10.0451246700
2.3867317080,2.5084835820,2.0890557860,0.1517843630,10.4830239700
2.3967927080,1.8902691650,2.0818707280,-0.1657054140,10.0458808100
2.4068537080,1.1255094910,1.7835411070,-0.1303788760,9.9067076070
2.4169147080,0.9141490173,1.7301022340,0.0571810910,10.0593332200
