"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.063777375E0,8.547225952E-2,-9.071136475E-2,9.764794006E0,9.765589385E0
2.073809375E0,5.523513794E-2,-8.786727905E-2,9.799222412E0,9.799772011E0
2.083840375E0,7.544311523E-2,-8.831634521E-2,9.785900116E0,9.786589422E0
2.093872375E0,7.364685059E-2,-7.918533325E-2,9.784552917E0,9.785150483E0
2.103904375E0,5.733078003E-2,-7.304809570E-2,9.775571594E0,9.776012625E0
2.113935375E0,7.379653931E-2,-9.101074219E-2,9.797725525E0,9.798426116E0
2.123967375E0,8.577163696E-2,-8.577163696E-2,9.787696381E0,9.788447987E0
2.133998375E0,6.616241455E-2,-8.652008057E-2,9.770182800E0,9.770789893E0
2.144030375E0,6.047424316E-2,-7.484436035E-2,9.779463501E0,9.779936870E0
2.154063375E0,7.753875732E-2,-9.729766846E-2,9.806108093E0,9.806897319E0
2.164095375E0,5.897735596E-2,-9.220825195E-2,9.779463501E0,9.780076025E0
2.174127375E0,6.137237549E-2,-8.143066406E-2,9.755064240E0,9.755597154E0
2.184159375E0,6.182144165E-2,-7.634124756E-2,9.785151672E0,9.785644748E0
2.194191375E0,5.972579956E-2,-6.840774536E-2,9.803563385E0,9.803983978E0
2.204224375E0,5.688171387E-2,-6.960525513E-2,9.772428131E0,9.772841552E0
2.214256375E0,7.349716187E-2,-7.125183105E-2,9.764794006E0,9.765330544E0
2.224288375E0,7.649093628E-2,-8.382568359E-2,9.779164124E0,9.779822522E0
2.234319375E0,8.083190918E-2,-9.235794067E-2,9.802814941E0,9.803583251E0
2.244350375E0,8.562194824E-2,-9.400451660E-2,9.787995758E0,9.788821631E0
2.254382375E0,6.122268677E-2,-8.966354370E-2,9.770182800E0,9.770786034E0
2.264413375E0,6.750961304E-2,-8.951385498E-2,9.782457275E0,9.783099745E0
2.274445375E0,6.571334839E-2,-9.026229858E-2,9.800270233E0,9.800906191E0
2.284476375E0,6.511459351E-2,-9.160949707E-2,9.773475952E0,9.774122180E0
2.294508375E0,6.541397095E-2,-9.026229858E-2,9.763446808E0,9.764083154E0
2.304540375E0,7.155120850E-2,-8.187973022E-2,9.796528015E0,9.797131469E0
2.314571375E0,5.897735596E-2,-9.460327148E-2,9.800569611E0,9.801203640E0
2.324602375E0,6.122268677E-2,-8.532257080E-2,9.763596497E0,9.764161239E0
